Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
"EPLWHP20160627Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",EPLWHP,,4,"Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",PEIRCE LINCOLN,06/27/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate.%20thunka%2C
EPLWHP20160704The widow / Fiona Barton,EPLWHP,,6,The widow / Fiona Barton,BARTON FIONA,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20widow%20/
EPLWHP20160704Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,EPLWHP,,10,Harry Potter and the Cursed Child: Parts I and II  / by J K Rowling,ROWLING J K,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=harry%20potter%20and
EPLWHP20160704Good Dinosaur Junior Novelization (Disney  / by Disney  RH,EPLWHP,,4,Good Dinosaur Junior Novelization (Disney  / by Disney  RH,RH DISNEY,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=good%20dinosaur%20junior
"EPLWHP20160704Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",EPLWHP,,4,"Big Nate. Thunka, thunka, thunka / by Lincoln Peirce",PEIRCE LINCOLN,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate.%20thunka%2C
EPLWHP20160704The crown / Keira Cass,EPLWHP,,4,The crown / Keira Cass,CASS KIERA,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20crown%20/
EPLWHP20160704Me before you / Jojo Moyes,EPLWHP,,17,Me before you / Jojo Moyes,MOYES JOJO,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
EPLWHP20160704The high mountains of Portugal : a novel / Yann Martel,EPLWHP,,4,The high mountains of Portugal : a novel / Yann Martel,MARTEL YANN,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20high%20mountains
EPLWHP20160704The nest / Cynthia D'Aprix Sweeney,EPLWHP,,12,The nest / Cynthia D'Aprix Sweeney,SWEENEY CYNTHIA DAPRIX,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nest%20/
EPLWHP20160704I let you go / Clare Mackintosh,EPLWHP,,4,I let you go / Clare Mackintosh,MACKINTOSH CLARE,07/04/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=i%20let%20you
