Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLRIV20150302The maze runner / James Dashner,EPLRIV,Riverbend Branch,34,The maze runner / James Dashner,Dashner James,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150302The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,35,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150302The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,77,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150223The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,66,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150223The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,37,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150223The maze runner / James Dashner,EPLRIV,Riverbend Branch,33,The maze runner / James Dashner,Dashner James,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150223Yes please / Amy Poehler,EPLRIV,Riverbend Branch,32,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLRIV20150223Gray Mountain / John Grisham,EPLRIV,Riverbend Branch,32,Gray Mountain / John Grisham,Grisham John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLRIV20150223All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,31,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLRIV20150223The Rosie effect / Graeme Simsion,EPLRIV,Riverbend Branch,27,The Rosie effect / Graeme Simsion,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLRIV20150223Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLRIV,Riverbend Branch,23,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLRIV20150223Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLRIV,Riverbend Branch,22,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLRIV20150223Leaving time : a novel / Jodi Picoult,EPLRIV,Riverbend Branch,21,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLRIV20150216The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,58,The girl on the train / Paula Hawkins,Hawkins Paula,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150216The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,36,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150216The maze runner / James Dashner,EPLRIV,Riverbend Branch,35,The maze runner / James Dashner,Dashner James,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150216Gray Mountain / John Grisham,EPLRIV,Riverbend Branch,35,Gray Mountain / John Grisham,Grisham John,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLRIV20150216Yes please / Amy Poehler,EPLRIV,Riverbend Branch,33,Yes please / Amy Poehler,Poehler Amy,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLRIV20150216All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,30,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLRIV20150216The Rosie effect / Graeme Simsion,EPLRIV,Riverbend Branch,26,The Rosie effect / Graeme Simsion,Simsion Graeme C,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLRIV20150216Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLRIV,Riverbend Branch,24,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLRIV20150216Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLRIV,Riverbend Branch,23,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLRIV20150216Leaving time : a novel / Jodi Picoult,EPLRIV,Riverbend Branch,20,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLRIV20150209The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,52,The girl on the train / Paula Hawkins,Hawkins Paula,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150209Yes please / Amy Poehler,EPLRIV,Riverbend Branch,35,Yes please / Amy Poehler,Poehler Amy,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLRIV20150209Gray Mountain / John Grisham,EPLRIV,Riverbend Branch,35,Gray Mountain / John Grisham,Grisham John,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLRIV20150209The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,35,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150209The maze runner / James Dashner,EPLRIV,Riverbend Branch,34,The maze runner / James Dashner,Dashner James,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150209The Rosie effect / Graeme Simsion,EPLRIV,Riverbend Branch,31,The Rosie effect / Graeme Simsion,Simsion Graeme C,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLRIV20150209All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,29,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLRIV20150209Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLRIV,Riverbend Branch,27,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLRIV20150209Leaving time : a novel / Jodi Picoult,EPLRIV,Riverbend Branch,24,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLRIV20150209Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLRIV,Riverbend Branch,24,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLRIV20150202All the light we cannot see : a novel / Anthony Doerr,EPLRIV,Riverbend Branch,28,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLRIV20150202Yes please / Amy Poehler,EPLRIV,Riverbend Branch,38,Yes please / Amy Poehler,Poehler Amy,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLRIV20150202Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLRIV,Riverbend Branch,29,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLRIV20150202The Rosie effect / Graeme Simsion,EPLRIV,Riverbend Branch,32,The Rosie effect / Graeme Simsion,Simsion Graeme C,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLRIV20150202The girl on the train / Paula Hawkins,EPLRIV,Riverbend Branch,42,The girl on the train / Paula Hawkins,Hawkins Paula,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLRIV20150202Gray Mountain / John Grisham,EPLRIV,Riverbend Branch,37,Gray Mountain / John Grisham,Grisham John,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLRIV20150202Leaving time : a novel / Jodi Picoult,EPLRIV,Riverbend Branch,25,Leaving time : a novel / Jodi Picoult,Picoult Jodi,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLRIV20150202The maze runner / James Dashner,EPLRIV,Riverbend Branch,35,The maze runner / James Dashner,Dashner James,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLRIV20150202Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLRIV,Riverbend Branch,25,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLRIV20150202The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,34,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150323Gray Mountain / John Grisham,EPLRIV,Riverbend Branch,19,Gray Mountain / John Grisham,Grisham John,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLRIV20150323Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLRIV,Riverbend Branch,20,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLRIV20150323Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLRIV,Riverbend Branch,22,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLRIV20150323The Rosie project / Graeme Simsion. --,EPLRIV,Riverbend Branch,22,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLRIV20150323The nightingale / Kristin Hannah,EPLRIV,Riverbend Branch,22,The nightingale / Kristin Hannah,Hannah Kristin,03/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nightingale%20/
